Date,Mispricing
2003-11-01,0.140501268421822
2003-11-08,0.09668032571218402
2003-11-15,0.07832840134639148
2003-11-22,0.01154624622447963
2003-11-29,0.11360955230209262
2003-12-06,0.07854839816145849
2003-12-13,0.13700404268562622
2003-12-20,0.10455493901593334
2003-12-27,0.14057872778880712
2004-01-03,0.1441234292857416
2004-01-10,0.1711765653663689
2004-01-17,0.2223250943635515
2004-01-24,0.20334781213830247
2004-01-31,0.15180471205345225
2004-02-07,0.17341997462347966
2004-02-14,0.1789009659274216
2004-02-21,0.14870034428820805
2004-02-28,0.1288413328060332
2004-03-06,0.16843417049533665
2004-03-13,0.004511998661939876
2004-03-20,-0.0326139746042094
2004-03-27,-0.035455377577509356
2004-04-03,0.07817039179896508
2004-04-10,0.05799764202030469
2004-04-17,0.03590277825064432
2004-04-24,0.050809519695532226
2004-05-01,-0.07229226952474813
2004-05-08,-0.11539675175040727
2004-05-15,-0.10880759173167381
2004-05-22,-0.10324853293625152
2004-05-29,0.014404884541253346
2004-06-05,0.0016226424665543805
2004-06-12,0.047947370678105894
2004-06-19,0.03409265851157818
2004-06-26,0.02984180623227516
2004-07-03,-0.010885316583114927
2004-07-10,-0.06323400426970326
2004-07-17,-0.09853486442539491
2004-07-24,-0.16177354818398137
2004-07-31,-0.07640548547584723
2004-08-07,-0.2004096554487369
2004-08-14,-0.1769950663706201
2004-08-21,-0.03219888032808305
2004-08-28,0.005465932714519172
2004-09-04,0.03221096186037299
2004-09-11,0.049590259840835565
2004-09-18,0.059468766546741
2004-09-25,-0.012229920164053845
2004-10-02,0.06749813606549125
2004-10-09,0.02543885581660477
2004-10-16,-0.03051776758483897
2004-10-23,-0.08270507163908401
2004-10-30,0.05610433490081673
2004-11-06,0.1888254807642107
2004-11-13,0.22342444520865862
2004-11-20,0.15527759500661178
2004-11-27,0.16675306068422305
2004-12-04,0.176894028484689
2004-12-11,0.15692476592580323
2004-12-18,0.15444275108677405
2004-12-25,0.18384976711339981
2005-01-01,0.15517998202167757
2005-01-08,0.034624837990335756
2005-01-15,0.005552231366516723
2005-01-22,-0.06753999138063103
2005-01-29,-0.04318083954920717
2005-02-05,0.036290488051244914
2005-02-12,0.035378539826035234
2005-02-19,0.011908820601963733
2005-02-26,0.039296250949378865
2005-03-05,0.09072566257162999
2005-03-12,-0.01895103604401528
2005-03-19,-0.08223021593107478
2005-03-26,-0.1389984745304372
2005-04-02,-0.11799781608819762
2005-04-09,-0.08936322319575843
2005-04-16,-0.24205921077134446
2005-04-23,-0.17415446465182718
2005-04-30,-0.1530729102765972
2005-05-07,-0.08841443420617214
2005-05-14,-0.14426662500861617
2005-05-21,-0.0019185053909428576
2005-05-28,0.03233291785919674
2005-06-04,0.028687087682029492
2005-06-11,0.023383848495561462
2005-06-18,0.07173165427308789
2005-06-25,-0.04517433700680803
2005-07-02,-0.0475057374969485
2005-07-09,0.01970297846398992
2005-07-16,0.05187444820626517
2005-07-23,0.06810774779902885
2005-07-30,0.0645175828127563
2005-08-06,0.0005031524117340379
2005-08-13,-0.002711690020586928
2005-08-20,-0.033242235749361054
2005-08-27,-0.10820638343771537
2005-09-03,-0.01508371786805646
2005-09-10,0.07494761227211214
2005-09-17,0.03368212580139388
2005-09-24,-0.06469986083610402
2005-10-01,-0.024739648928692397
2005-10-08,-0.20126519919683858
2005-10-15,-0.2251353532091924
2005-10-22,-0.24131674638040027
2005-10-29,-0.1532359669234125
2005-11-05,-0.05494455432525085
2005-11-12,0.012181308715427582
2005-11-19,0.05348624069044152
2005-11-26,0.127848393368867
2005-12-03,0.09144587731246738
2005-12-10,0.044145949197944394
2005-12-17,0.05690330289339496
2005-12-24,0.04965945292254862
2005-12-31,-0.060746223614773665
2006-01-07,0.10995905607036842
2006-01-14,0.09478975597705501
2006-01-21,-0.04071472224612865
2006-01-28,0.08239797932617152
2006-02-04,-0.029354826946680936
2006-02-11,-0.022080810333240417
2006-02-18,0.06323471035175678
2006-02-25,0.0689980801779525
2006-03-04,0.02505371278587929
2006-03-11,0.0020978608548444092
2006-03-18,0.10368877833995159
2006-03-25,0.06936478960990207
2006-04-01,0.028674825934902528
2006-04-08,0.0028523083427630055
2006-04-15,-0.04434110518838702
2006-04-22,0.05180995125562036
2006-04-29,0.049591319034422016
2006-05-06,0.07839651404897503
2006-05-13,-0.0769597038322891
2006-05-20,-0.15195670251389773
2006-05-27,-0.09174199949573006
2006-06-03,-0.05666068623131489
2006-06-10,-0.21696642395501042
2006-06-17,-0.2047590014201301
2006-06-24,-0.2104908604995809
2006-07-01,-0.08032689954195774
2006-07-08,-0.09834136701520499
2006-07-15,-0.2329687083700582
2006-07-22,-0.21099631405061742
2006-07-29,-0.02483994601106904
2006-08-05,-0.012023182052538434
2006-08-12,-0.06955840697969937
2006-08-19,0.06233750476968227
2006-08-26,0.015634479510431176
2006-09-02,0.06651293087750372
2006-09-09,0.003302511724050161
2006-09-16,0.08712100444127353
2006-09-23,0.03909522301385138
2006-09-30,0.11574540311012178
2006-10-07,0.15469317252705053
2006-10-14,0.1947087684691158
2006-10-21,0.1887366837478044
2006-10-28,0.20682444605778405
2006-11-04,0.12119941298906238
2006-11-11,0.1673769182548995
2006-11-18,0.19441269398921746
2006-11-25,0.161305481783756
2006-12-02,0.13154173003446182
2006-12-09,0.15738460254648465
2006-12-16,0.18550287064134452
2006-12-23,0.10506803936110935
2006-12-30,0.11993468713802588
2007-01-06,0.03737524117744239
2007-01-13,0.12380474218054185
2007-01-20,0.07816804619047436
2007-01-27,0.021152249983020496
