Event,Actual,Prior,Freq.,Date,Time,Surv(M),Std Dev,nn-surprise,Surprise,DateTime
Unemployment Rate,0.046,0.047,M,2006-06-02,07:30:00,0.047,0.04,-0.0010000000000000009,-0.0013153672949066278,2006-06-02 07:30:00
Initial Jobless Claims,302.0,336k,W,2006-06-08,07:30:00,330.0,5.87,-28.0,-1.9357225529971238,2006-06-08 07:30:00
PPI Ex Food and Energy MoM,0.003,0.001,M,2006-06-13,07:30:00,0.002,0.08,0.001,0.0013155872977620605,2006-06-13 07:30:00
CPI Ex Food and Energy YoY,0.024,0.023,M,2006-06-14,07:30:00,0.023,0.06,0.0010000000000000009,0.0011296098975342227,2006-06-14 07:30:00
Initial Jobless Claims,295.0,302k,W,2006-06-15,07:30:00,320.0,6.88,-25.0,-1.7200620232950026,2006-06-15 07:30:00
Industrial Production MoM,-0.001,0.008,M,2006-06-15,08:15:00,0.002,0.13,-0.003,-0.003945999499424024,2006-06-15 08:15:00
U. of Mich. Sentiment,82.4,79.1,M,2006-06-16,08:45:00,79.0,1.89,3.4000000000000057,1.1790301212700132,2006-06-16 08:45:00
Initial Jobless Claims,308.0,295k,W,2006-06-22,07:30:00,306.0,5.84,2.0,0.13790880073413775,2006-06-22 07:30:00
GDP Annualized QoQ,0.056,0.053,Q,2006-06-29,07:30:00,0.056,0.15,0.0,0.0,2006-06-29 07:30:00
Initial Jobless Claims,313.0,308k,W,2006-06-29,07:30:00,310.0,5.06,3.0,0.20731244385807446,2006-06-29 07:30:00
U. of Mich. Sentiment,84.9,82.4,M,2006-06-30,08:45:00,82.5,0.77,2.4000000000000057,0.8333235848991906,2006-06-30 08:45:00
ISM Manufacturing,53.8,54.4,M,2006-07-03,09:00:00,55.0,0.95,-1.2000000000000028,-0.6250918035834081,2006-07-03 09:00:00
Initial Jobless Claims,313.0,313k,W,2006-07-06,07:30:00,315.0,6.38,-2.0,-0.13850442429171522,2006-07-06 07:30:00
Change in Nonfarm Payrolls,121.0,75k,M,2006-07-07,07:30:00,175.0,40.66,-54.0,-0.7775079136713822,2006-07-07 07:30:00
Unemployment Rate,0.046,0.046,M,2006-07-07,07:30:00,0.046,0.05,0.0,0.0,2006-07-07 07:30:00
Initial Jobless Claims,332.0,313k,W,2006-07-13,07:30:00,320.0,9.28,12.0,0.8317644105646264,2006-07-13 07:30:00
U. of Mich. Sentiment,83.0,84.9,M,2006-07-14,08:45:00,85.6,1.25,-2.5999999999999943,-0.9060331011076983,2006-07-14 08:45:00
Industrial Production MoM,0.008,-0.001,M,2006-07-17,08:15:00,0.005,0.16,0.003,0.0039762880516630164,2006-07-17 08:15:00
PPI Ex Food and Energy MoM,0.002,0.003,M,2006-07-18,07:30:00,0.002,0.05,0.0,0.0,2006-07-18 07:30:00
CPI Ex Food and Energy YoY,0.026,0.024,M,2006-07-19,07:30:00,0.026,0.06,0.0,0.0,2006-07-19 07:30:00
Initial Jobless Claims,304.0,332k,W,2006-07-20,07:30:00,320.0,10.07,-16.0,-1.108168631379755,2006-07-20 07:30:00
Initial Jobless Claims,298.0,304k,W,2006-07-27,07:30:00,310.0,5.79,-12.0,-0.8315472938343593,2006-07-27 07:30:00
GDP Annualized QoQ,0.025,0.056,Q,2006-07-28,07:30:00,0.03,0.32,-0.0049999999999999975,-0.017723733866295888,2006-07-28 07:30:00
U. of Mich. Sentiment,84.7,83,M,2006-07-28,08:45:00,83.0,1.03,1.7000000000000028,0.5953638303535653,2006-07-28 08:45:00
ISM Manufacturing,54.7,53.8,M,2006-08-01,09:00:00,53.5,0.77,1.2000000000000028,0.63019285521405,2006-08-01 09:00:00
Initial Jobless Claims,315.0,315k,W,2006-08-03,07:30:00,308.0,4.53,7.0,0.48594270907662906,2006-08-03 07:30:00
Change in Nonfarm Payrolls,113.0,121k,M,2006-08-04,07:30:00,141.0,29.29,-28.0,-0.406961979732401,2006-08-04 07:30:00
Unemployment Rate,0.048,0.046,M,2006-08-04,07:30:00,0.046,0.04,0.0020000000000000018,0.002671274982353246,2006-08-04 07:30:00
Initial Jobless Claims,319.0,315k,W,2006-08-10,07:30:00,315.0,4.28,4.0,0.2782671448492394,2006-08-10 07:30:00
PPI Ex Food and Energy MoM,-0.003,0.002,M,2006-08-15,07:30:00,0.002,0.07,-0.005,-0.00667871999887708,2006-08-15 07:30:00
CPI Ex Food and Energy YoY,0.027,0.026,M,2006-08-16,07:30:00,0.027,0.13,0.0,0.0,2006-08-16 07:30:00
Industrial Production MoM,0.004,0.008,M,2006-08-16,08:15:00,0.006,0.19,-0.002,-0.002671175956976391,2006-08-16 08:15:00
Initial Jobless Claims,312.0,319k,W,2006-08-17,07:30:00,315.0,3.03,-3.0,-0.20913351221290724,2006-08-17 07:30:00
U. of Mich. Sentiment,78.7,84.7,M,2006-08-18,08:45:00,83.8,1.22,-5.099999999999994,-1.757308742019457,2006-08-18 08:45:00
Initial Jobless Claims,313.0,312k,W,2006-08-24,07:30:00,315.0,3.89,-2.0,-0.13972142547178693,2006-08-24 07:30:00
GDP Annualized QoQ,0.029,0.025,Q,2006-08-30,07:30:00,0.03,0.17,-0.0009999999999999974,-0.003646558249592414,2006-08-30 07:30:00
Initial Jobless Claims,316.0,313k,W,2006-08-31,07:30:00,315.0,2.67,1.0,0.07001602083757497,2006-08-31 07:30:00
Change in Nonfarm Payrolls,128.0,113k,M,2006-09-01,07:30:00,125.0,19.4,3.0,0.043988308239946775,2006-09-01 07:30:00
Unemployment Rate,0.047,0.048,M,2006-09-01,07:30:00,0.047,0.05,0.0,0.0,2006-09-01 07:30:00
U. of Mich. Sentiment,82.0,78.7,M,2006-09-01,08:45:00,79.0,1.16,3.0,1.0307123367411668,2006-09-01 08:45:00
ISM Manufacturing,54.5,54.7,M,2006-09-01,09:00:00,54.5,0.79,0.0,0.0,2006-09-01 09:00:00
Initial Jobless Claims,310.0,316k,W,2006-09-07,07:30:00,315.0,4.26,-5.0,-0.3507354832390625,2006-09-07 07:30:00
Initial Jobless Claims,308.0,310k,W,2006-09-14,07:30:00,315.0,4.29,-7.0,-0.49180735716331786,2006-09-14 07:30:00
CPI Ex Food and Energy YoY,0.028,0.027,M,2006-09-15,07:30:00,0.028,0.06,0.0,0.0,2006-09-15 07:30:00
Industrial Production MoM,-0.001,0.004,M,2006-09-15,08:15:00,0.002,0.17,-0.003,-0.004037611822151731,2006-09-15 08:15:00
U. of Mich. Sentiment,84.4,82,M,2006-09-15,08:45:00,84.0,1.28,0.4000000000000057,0.138679246884869,2006-09-15 08:45:00
PPI Ex Food and Energy MoM,-0.004,-0.003,M,2006-09-19,07:30:00,0.002,0.06,-0.006,-0.00807586787479474,2006-09-19 07:30:00
Initial Jobless Claims,318.0,308k,W,2006-09-21,07:30:00,310.0,2.97,8.0,0.5629835242995956,2006-09-21 07:30:00
GDP Annualized QoQ,0.026,0.029,Q,2006-09-28,07:30:00,0.029,0.09,-0.0030000000000000027,-0.011253613237492027,2006-09-28 07:30:00
Initial Jobless Claims,316.0,318k,W,2006-09-28,07:30:00,315.0,3.64,1.0,0.07052937407558067,2006-09-28 07:30:00
U. of Mich. Sentiment,85.4,84.4,M,2006-09-29,08:45:00,85.0,1.08,0.4000000000000057,0.13994316558393113,2006-09-29 08:45:00
ISM Manufacturing,52.9,54.5,M,2006-10-02,09:00:00,53.5,1.1,-0.6000000000000014,-0.32015487624069444,2006-10-02 09:00:00
Initial Jobless Claims,302.0,316k,W,2006-10-05,07:30:00,315.0,4.15,-13.0,-0.9170406525887402,2006-10-05 07:30:00
Change in Nonfarm Payrolls,51.0,128k,M,2006-10-06,07:30:00,120.0,19.09,-69.0,-1.0160341409473035,2006-10-06 07:30:00
Unemployment Rate,0.046,0.047,M,2006-10-06,07:30:00,0.047,0.05,-0.0010000000000000009,-0.0013564171572962485,2006-10-06 07:30:00
Initial Jobless Claims,308.0,302k,W,2006-10-12,07:30:00,311.0,3.96,-3.0,-0.2120650332375235,2006-10-12 07:30:00
U. of Mich. Sentiment,92.3,85.4,M,2006-10-13,09:00:00,86.5,1.23,5.799999999999997,1.9670145382043438,2006-10-13 09:00:00
PPI Ex Food and Energy MoM,0.006,-0.004,M,2006-10-17,07:30:00,0.002,0.11,0.004,0.005426022285200625,2006-10-17 07:30:00
Industrial Production MoM,-0.006,-0.001,M,2006-10-17,08:15:00,-0.001,0.22,-0.005,-0.006781311032579698,2006-10-17 08:15:00
CPI Ex Food and Energy YoY,0.029,0.028,M,2006-10-18,07:30:00,0.029,0.07,0.0,0.0,2006-10-18 07:30:00
Initial Jobless Claims,299.0,308k,W,2006-10-19,07:30:00,310.0,3.98,-11.0,-0.7781478854816287,2006-10-19 07:30:00
Initial Jobless Claims,308.0,299k,W,2006-10-26,07:30:00,307.0,4.26,1.0,0.0708978896234395,2006-10-26 07:30:00
GDP Annualized QoQ,0.016,0.026,Q,2006-10-27,07:30:00,0.02,0.39,-0.004,-0.015435484560226753,2006-10-27 07:30:00
U. of Mich. Sentiment,93.6,92.3,M,2006-10-27,09:00:00,92.7,0.99,0.8999999999999915,0.3077981018073818,2006-10-27 09:00:00
ISM Manufacturing,51.2,52.9,M,2006-11-01,09:00:00,53.0,1.05,-1.7999999999999972,-0.9573051250648708,2006-11-01 09:00:00
Initial Jobless Claims,327.0,308k,W,2006-11-02,07:30:00,310.0,3.37,17.0,1.2043342032022026,2006-11-02 07:30:00
Change in Nonfarm Payrolls,92.0,51k,M,2006-11-03,07:30:00,123.0,22.51,-31.0,-0.4607396764434974,2006-11-03 07:30:00
Unemployment Rate,0.044,0.046,M,2006-11-03,07:30:00,0.046,0.05,-0.0020000000000000018,-0.0027339871341922487,2006-11-03 07:30:00
Initial Jobless Claims,308.0,327k,W,2006-11-09,07:30:00,318.0,6.8,-10.0,-0.7091220706758666,2006-11-09 07:30:00
U. of Mich. Sentiment,92.3,93.6,M,2006-11-09,09:00:00,93.6,1.54,-1.2999999999999972,-0.4482527664528049,2006-11-09 09:00:00
PPI Ex Food and Energy MoM,-0.009,0.006,M,2006-11-14,07:30:00,0.001,0.12,-0.009999999999999998,-0.013669555842216175,2006-11-14 07:30:00
CPI Ex Food and Energy YoY,0.027,0.029,M,2006-11-16,07:30:00,0.029,0.94,-0.0020000000000000018,-0.002331827888415866,2006-11-16 07:30:00
Initial Jobless Claims,308.0,308k,W,2006-11-16,07:30:00,311.0,5.83,-3.0,-0.21317955231547728,2006-11-16 07:30:00
Industrial Production MoM,0.002,-0.006,M,2006-11-16,08:15:00,0.003,0.18,-0.001,-0.0013668562299588142,2006-11-16 08:15:00
Initial Jobless Claims,321.0,308k,W,2006-11-22,07:30:00,310.0,4.44,11.0,0.7824467268196481,2006-11-22 07:30:00
U. of Mich. Sentiment,92.1,92.3,M,2006-11-22,09:00:00,93.3,0.94,-1.2000000000000028,-0.4172865239841062,2006-11-22 09:00:00
GDP Annualized QoQ,0.022,0.016,Q,2006-11-29,07:30:00,0.018,0.12,0.004,0.0158823820219744,2006-11-29 07:30:00
Initial Jobless Claims,357.0,321k,W,2006-11-30,07:30:00,315.0,5.65,42.0,2.9384710757494767,2006-11-30 07:30:00
ISM Manufacturing,49.5,51.2,M,2006-12-01,09:00:00,51.5,1.01,-2.0,-1.0582877469344618,2006-12-01 09:00:00
Initial Jobless Claims,324.0,357k,W,2006-12-07,07:30:00,325.0,9.03,-1.0,-0.07011678155891095,2006-12-07 07:30:00
Change in Nonfarm Payrolls,132.0,92k,M,2006-12-08,07:30:00,100.0,27.52,32.0,0.4777067246580149,2006-12-08 07:30:00
Unemployment Rate,0.045,0.044,M,2006-12-08,07:30:00,0.045,0.05,0.0,0.0,2006-12-08 07:30:00
U. of Mich. Sentiment,90.2,92.1,M,2006-12-08,09:00:00,92.0,1.08,-1.7999999999999972,-0.6301489009183403,2006-12-08 09:00:00
Initial Jobless Claims,304.0,324k,W,2006-12-14,07:30:00,320.0,5.52,-16.0,-1.1209444351246527,2006-12-14 07:30:00
CPI Ex Food and Energy YoY,0.026,0.027,M,2006-12-15,07:30:00,0.027,0.13,-0.0010000000000000009,-0.0011735944148386663,2006-12-15 07:30:00
Industrial Production MoM,0.002,0.002,M,2006-12-15,08:15:00,0.0,0.17,0.002,0.0027552733392643774,2006-12-15 08:15:00
PPI Ex Food and Energy MoM,0.013,-0.009,M,2006-12-19,07:30:00,0.002,0.13,0.011,0.015156573102331953,2006-12-19 07:30:00
GDP Annualized QoQ,0.02,0.022,Q,2006-12-21,07:30:00,0.022,0.06,-0.0019999999999999983,-0.008170010455071255,2006-12-21 07:30:00
Initial Jobless Claims,315.0,304k,W,2006-12-21,07:30:00,315.0,7.23,0.0,0.0,2006-12-21 07:30:00
U. of Mich. Sentiment,91.7,90.2,M,2006-12-22,09:00:00,90.2,0.98,1.5,0.5284056232060313,2006-12-22 09:00:00
Initial Jobless Claims,317.0,315k,W,2006-12-28,07:30:00,320.0,5.87,-3.0,-0.21108041097902444,2006-12-28 07:30:00
ISM Manufacturing,51.4,49.5,M,2007-01-03,09:00:00,50.0,0.91,1.3999999999999986,0.7457331660382964,2007-01-03 09:00:00
Initial Jobless Claims,329.0,317k,W,2007-01-04,07:30:00,320.0,5.07,9.0,0.6341708955218637,2007-01-04 07:30:00
Change in Nonfarm Payrolls,167.0,132k,M,2007-01-05,07:30:00,100.0,33.03,67.0,0.9952064415028491,2007-01-05 07:30:00
Unemployment Rate,0.045,0.045,M,2007-01-05,07:30:00,0.045,0.06,0.0,0.0,2007-01-05 07:30:00
Initial Jobless Claims,299.0,329k,W,2007-01-11,07:30:00,320.0,8.47,-21.0,-1.475414011530408,2007-01-11 07:30:00
PPI Ex Food and Energy MoM,0.002,0.013,M,2007-01-17,07:30:00,0.001,0.15,0.001,0.0013887721869564867,2007-01-17 07:30:00
Industrial Production MoM,0.004,0.002,M,2007-01-17,08:15:00,0.001,0.16,0.003,0.004165718373676576,2007-01-17 08:15:00
CPI Ex Food and Energy YoY,0.026,0.026,M,2007-01-18,07:30:00,0.026,0.08,0.0,0.0,2007-01-18 07:30:00
Initial Jobless Claims,290.0,299k,W,2007-01-18,07:30:00,314.0,6.07,-24.0,-1.6788824549163683,2007-01-18 07:30:00
U. of Mich. Sentiment,98.0,91.7,M,2007-01-19,09:00:00,92.2,1.03,5.799999999999997,1.9820005593254246,2007-01-19 09:00:00
Initial Jobless Claims,325.0,290k,W,2007-01-25,07:30:00,310.0,8.4,15.0,1.0492612899321394,2007-01-25 07:30:00
GDP Annualized QoQ,0.035,0.02,Q,2007-01-31,07:30:00,0.03,0.33,0.0050000000000000044,0.02101780547378972,2007-01-31 07:30:00
Initial Jobless Claims,307.0,325k,W,2007-02-01,07:30:00,315.0,5.13,-8.0,-0.5604051558074028,2007-02-01 07:30:00
ISM Manufacturing,49.3,51.4,M,2007-02-01,09:00:00,51.7,0.83,-2.4000000000000057,-1.2656167179980073,2007-02-01 09:00:00
Change in Nonfarm Payrolls,111.0,167k,M,2007-02-02,07:30:00,150.0,28.09,-39.0,-0.5842538414052684,2007-02-02 07:30:00
Unemployment Rate,0.046,0.045,M,2007-02-02,07:30:00,0.045,0.05,0.0010000000000000009,0.0013996753023106684,2007-02-02 07:30:00
U. of Mich. Sentiment,96.9,98,M,2007-02-02,09:00:00,98.0,1,-1.0999999999999943,-0.3791001296850474,2007-02-02 09:00:00
Initial Jobless Claims,311.0,307k,W,2007-02-08,07:30:00,312.0,5.39,-1.0,-0.07020463234560352,2007-02-08 07:30:00
Initial Jobless Claims,357.0,311k,W,2007-02-15,07:30:00,314.0,4.2,43.0,2.9678656389470306,2007-02-15 07:30:00
Industrial Production MoM,-0.005,0.004,M,2007-02-15,08:15:00,0.0,0.21,-0.005,-0.0069976252594921625,2007-02-15 08:15:00
PPI Ex Food and Energy MoM,0.002,0.002,M,2007-02-16,07:30:00,0.002,0.1,0.0,0.0,2007-02-16 07:30:00
U. of Mich. Sentiment,93.3,96.9,M,2007-02-16,09:00:00,96.5,1.27,-3.200000000000003,-1.101781126464218,2007-02-16 09:00:00
CPI Ex Food and Energy YoY,0.027,0.026,M,2007-02-21,07:30:00,0.026,0.04,0.0010000000000000009,0.001189420967594584,2007-02-21 07:30:00
Initial Jobless Claims,332.0,357k,W,2007-02-22,07:30:00,325.0,9.64,7.0,0.48401514903710036,2007-02-22 07:30:00
GDP Annualized QoQ,0.022,0.035,Q,2007-02-28,07:30:00,0.023,0.27,-0.0010000000000000009,-0.004324982927483142,2007-02-28 07:30:00
Initial Jobless Claims,338.0,332k,W,2007-03-01,07:30:00,325.0,7.51,13.0,0.8994621200222792,2007-03-01 07:30:00
ISM Manufacturing,52.3,49.3,M,2007-03-01,09:00:00,50.0,0.82,2.299999999999997,1.2120395838110816,2007-03-01 09:00:00
U. of Mich. Sentiment,91.3,93.3,M,2007-03-02,09:00:00,93.5,0.69,-2.200000000000003,-0.7612836292770874,2007-03-02 09:00:00
Initial Jobless Claims,328.0,338k,W,2007-03-08,07:30:00,330.0,7.06,-2.0,-0.1386750112998231,2007-03-08 07:30:00
Change in Nonfarm Payrolls,97.0,111k,M,2007-03-09,07:30:00,95.0,27.04,2.0,0.030230490129275076,2007-03-09 07:30:00
Unemployment Rate,0.045,0.046,M,2007-03-09,07:30:00,0.046,0.05,-0.0010000000000000009,-0.0014108310582912902,2007-03-09 07:30:00
PPI Ex Food and Energy MoM,0.004,0.002,M,2007-03-15,07:30:00,0.002,0.06,0.002,0.002822000396667102,2007-03-15 07:30:00
Initial Jobless Claims,318.0,328k,W,2007-03-15,07:30:00,328.0,6.26,-10.0,-0.6940596367588034,2007-03-15 07:30:00
CPI Ex Food and Energy YoY,0.027,0.027,M,2007-03-16,07:30:00,0.027,0.09,0.0,0.0,2007-03-16 07:30:00
Industrial Production MoM,0.01,-0.005,M,2007-03-16,08:15:00,0.003,0.21,0.007,0.009875644480816674,2007-03-16 08:15:00
U. of Mich. Sentiment,88.8,91.3,M,2007-03-16,09:00:00,89.0,1.64,-0.20000000000000284,-0.06987708275831049,2007-03-16 09:00:00
Initial Jobless Claims,316.0,318k,W,2007-03-22,07:30:00,323.0,4.67,-7.0,-0.48661194766391913,2007-03-22 07:30:00
GDP Annualized QoQ,0.025,0.022,Q,2007-03-29,07:30:00,0.022,0.07,0.0030000000000000027,0.013351406551039021,2007-03-29 07:30:00
Initial Jobless Claims,308.0,316k,W,2007-03-29,07:30:00,320.0,4.86,-12.0,-0.8346100374120369,2007-03-29 07:30:00
U. of Mich. Sentiment,88.4,88.8,M,2007-03-30,09:00:00,88.5,0.92,-0.09999999999999432,-0.035276156211237336,2007-03-30 09:00:00
ISM Manufacturing,50.9,52.3,M,2007-04-02,09:00:00,51.4,1.25,-0.5,-0.2655544207068024,2007-04-02 09:00:00
Initial Jobless Claims,321.0,308k,W,2007-04-05,07:30:00,315.0,3.23,6.0,0.41810570162097416,2007-04-05 07:30:00
Change in Nonfarm Payrolls,180.0,97k,M,2007-04-06,07:30:00,130.0,33.17,50.0,0.7560924406518786,2007-04-06 07:30:00
Unemployment Rate,0.044,0.045,M,2007-04-06,07:30:00,0.046,0.05,-0.0020000000000000018,-0.0028442272270663028,2007-04-06 07:30:00
Initial Jobless Claims,342.0,321k,W,2007-04-12,07:30:00,320.0,8.22,22.0,1.5290338412468287,2007-04-12 07:30:00
PPI Ex Food and Energy MoM,0.0,0.004,M,2007-04-13,07:30:00,0.002,0.07,-0.002,-0.0028445601298084503,2007-04-13 07:30:00
U. of Mich. Sentiment,85.3,88.4,M,2007-04-13,09:00:00,87.5,1.35,-2.200000000000003,-0.7799358615760993,2007-04-13 09:00:00
CPI Ex Food and Energy YoY,0.025,0.027,M,2007-04-17,07:30:00,0.026,0.05,-0.0009999999999999974,-0.0012057758151406525,2007-04-17 07:30:00
Industrial Production MoM,-0.002,0.01,M,2007-04-17,08:15:00,0.0,0.19,-0.002,-0.0028441781942733987,2007-04-17 08:15:00
Initial Jobless Claims,339.0,342k,W,2007-04-19,07:30:00,320.0,7.46,19.0,1.3188044858982806,2007-04-19 07:30:00
Initial Jobless Claims,321.0,339k,W,2007-04-26,07:30:00,330.0,7.27,-9.0,-0.6254407169801424,2007-04-26 07:30:00
GDP Annualized QoQ,0.013,0.025,Q,2007-04-27,07:30:00,0.018,0.31,-0.004999999999999999,-0.02289326421330015,2007-04-27 07:30:00
U. of Mich. Sentiment,87.1,85.3,M,2007-04-27,09:00:00,85.3,0.62,1.7999999999999972,0.6411989478379304,2007-04-27 09:00:00
ISM Manufacturing,54.7,50.9,M,2007-05-01,09:00:00,51.0,0.68,3.700000000000003,1.9268766769839463,2007-05-01 09:00:00
Initial Jobless Claims,305.0,321k,W,2007-05-03,07:30:00,325.0,5.49,-20.0,-1.3865737091124288,2007-05-03 07:30:00
Change in Nonfarm Payrolls,88.0,180k,M,2007-05-04,07:30:00,100.0,24.54,-12.0,-0.18321486422483035,2007-05-04 07:30:00
Unemployment Rate,0.045,0.044,M,2007-05-04,07:30:00,0.045,0.05,0.0,0.0,2007-05-04 07:30:00
Initial Jobless Claims,297.0,305k,W,2007-05-10,07:30:00,315.0,7.09,-18.0,-1.2460689409048689,2007-05-10 07:30:00
PPI Ex Food and Energy MoM,0.0,0,M,2007-05-11,07:30:00,0.002,0.06,-0.002,-0.0028674066189951744,2007-05-11 07:30:00
CPI Ex Food and Energy YoY,0.023,0.025,M,2007-05-15,07:30:00,0.024,0.06,-0.0010000000000000009,-0.0012141542650285187,2007-05-15 07:30:00
Industrial Production MoM,0.007,-0.002,M,2007-05-16,08:15:00,0.003,0.12,0.004,0.005734437257880972,2007-05-16 08:15:00
Initial Jobless Claims,293.0,297k,W,2007-05-17,07:30:00,315.0,6.49,-22.0,-1.5181556197385135,2007-05-17 07:30:00
U. of Mich. Sentiment,88.7,87.1,M,2007-05-18,09:00:00,86.2,1.28,2.5,0.8915289516714598,2007-05-18 09:00:00
Initial Jobless Claims,311.0,293k,W,2007-05-24,07:30:00,305.0,6.98,6.0,0.41483316906953677,2007-05-24 07:30:00
GDP Annualized QoQ,0.006,0.013,Q,2007-05-31,07:30:00,0.008,0.24,-0.002,-0.009422172612243698,2007-05-31 07:30:00
Initial Jobless Claims,310.0,311k,W,2007-05-31,07:30:00,314.0,4.25,-4.0,-0.27710975126287213,2007-05-31 07:30:00
Change in Nonfarm Payrolls,157.0,88k,M,2007-06-01,07:30:00,132.0,28.77,25.0,0.3840806391493642,2007-06-01 07:30:00
Unemployment Rate,0.045,0.045,M,2007-06-01,07:30:00,0.045,0.04,0.0,0.0,2007-06-01 07:30:00
ISM Manufacturing,55.0,54.7,M,2007-06-01,09:00:00,54.0,0.99,1.0,0.5253102354489473,2007-06-01 09:00:00
U. of Mich. Sentiment,88.3,88.7,M,2007-06-01,09:00:00,88.0,0.74,0.29999999999999716,0.1079933506127557,2007-06-01 09:00:00
Initial Jobless Claims,309.0,310k,W,2007-06-07,07:30:00,312.0,4.45,-3.0,-0.2082669136745932,2007-06-07 07:30:00
PPI Ex Food and Energy MoM,0.002,0,M,2007-06-14,07:30:00,0.002,0.06,0.0,0.0,2007-06-14 07:30:00
Initial Jobless Claims,311.0,309k,W,2007-06-14,07:30:00,312.0,4.33,-1.0,-0.06957498739729709,2007-06-14 07:30:00
CPI Ex Food and Energy YoY,0.022,0.023,M,2007-06-15,07:30:00,0.023,0.04,-0.0010000000000000009,-0.0012226712019518958,2007-06-15 07:30:00
Industrial Production MoM,0.0,0.007,M,2007-06-15,08:15:00,0.002,0.15,-0.002,-0.0028903559290113017,2007-06-15 08:15:00
U. of Mich. Sentiment,83.7,88.3,M,2007-06-15,09:00:00,87.8,1.19,-4.099999999999994,-1.4625520043853535,2007-06-15 09:00:00
Initial Jobless Claims,324.0,311k,W,2007-06-21,07:30:00,311.0,3.49,13.0,0.9049813471818436,2007-06-21 07:30:00
GDP Annualized QoQ,0.007,0.006,Q,2007-06-28,07:30:00,0.008,0.14,-0.001,-0.004847586920477698,2007-06-28 07:30:00
Initial Jobless Claims,313.0,324k,W,2007-06-28,07:30:00,315.0,4.75,-2.0,-0.13952767926371165,2007-06-28 07:30:00
U. of Mich. Sentiment,85.3,83.7,M,2007-06-29,09:00:00,84.0,0.61,1.2999999999999972,0.4669586633556805,2007-06-29 09:00:00
ISM Manufacturing,56.0,55,M,2007-07-02,09:00:00,55.0,0.96,1.0,0.5298931014195972,2007-07-02 09:00:00
Initial Jobless Claims,318.0,313k,W,2007-07-05,07:30:00,315.0,5.56,3.0,0.20974360564455655,2007-07-05 07:30:00
Change in Nonfarm Payrolls,132.0,157k,M,2007-07-06,07:30:00,125.0,17.28,7.0,0.10847912634170154,2007-07-06 07:30:00
Unemployment Rate,0.045,0.045,M,2007-07-06,07:30:00,0.045,0.05,0.0,0.0,2007-07-06 07:30:00
Initial Jobless Claims,308.0,318k,W,2007-07-12,07:30:00,315.0,4.72,-7.0,-0.4901871303165862,2007-07-12 07:30:00
U. of Mich. Sentiment,92.4,85.3,M,2007-07-13,09:00:00,86.0,1.09,6.400000000000006,2.208584311803264,2007-07-13 09:00:00
PPI Ex Food and Energy MoM,0.003,0.002,M,2007-07-17,07:30:00,0.002,0.06,0.001,0.0014570616985493897,2007-07-17 07:30:00
Industrial Production MoM,0.005,0,M,2007-07-17,08:15:00,0.005,0.15,0.0,0.0,2007-07-17 08:15:00
CPI Ex Food and Energy YoY,0.022,0.022,M,2007-07-18,07:30:00,0.022,0.06,0.0,0.0,2007-07-18 07:30:00
Initial Jobless Claims,301.0,308k,W,2007-07-19,07:30:00,311.0,5.5,-10.0,-0.7009827881889171,2007-07-19 07:30:00
Initial Jobless Claims,301.0,301k,W,2007-07-26,07:30:00,310.0,4.87,-9.0,-0.6316708195728707,2007-07-26 07:30:00
GDP Annualized QoQ,0.034,0.007,Q,2007-07-27,07:30:00,0.032,0.33,0.0020000000000000018,0.009977027915535987,2007-07-27 07:30:00
U. of Mich. Sentiment,90.4,92.4,M,2007-07-27,09:00:00,91.2,1.15,-0.7999999999999972,-0.27857122307205534,2007-07-27 09:00:00
ISM Manufacturing,53.8,56,M,2007-08-01,09:00:00,55.0,0.73,-1.2000000000000028,-0.6377097268412122,2007-08-01 09:00:00
Initial Jobless Claims,307.0,301k,W,2007-08-02,07:30:00,310.0,4.27,-3.0,-0.2109979425263053,2007-08-02 07:30:00
Change in Nonfarm Payrolls,92.0,132k,M,2007-08-03,07:30:00,127.0,20.52,-35.0,-0.5470707611298645,2007-08-03 07:30:00
Unemployment Rate,0.046,0.045,M,2007-08-03,07:30:00,0.045,0.26,0.0010000000000000009,0.0014688242703293048,2007-08-03 07:30:00
Initial Jobless Claims,316.0,307k,W,2007-08-09,07:30:00,310.0,3.33,6.0,0.42279150256122894,2007-08-09 07:30:00
PPI Ex Food and Energy MoM,0.001,0.003,M,2007-08-14,07:30:00,0.002,0.07,-0.001,-0.001468933996888369,2007-08-14 07:30:00
CPI Ex Food and Energy YoY,0.022,0.022,M,2007-08-15,07:30:00,0.022,0.07,0.0,0.0,2007-08-15 07:30:00
Industrial Production MoM,0.003,0.005,M,2007-08-15,08:15:00,0.003,0.12,0.0,0.0,2007-08-15 08:15:00
Initial Jobless Claims,322.0,316k,W,2007-08-16,07:30:00,315.0,3.52,7.0,0.4941222075123673,2007-08-16 07:30:00
U. of Mich. Sentiment,83.3,90.4,M,2007-08-17,09:00:00,88.0,1.67,-4.700000000000003,-1.6136510116983989,2007-08-17 09:00:00
Initial Jobless Claims,322.0,322k,W,2007-08-23,07:30:00,320.0,4.15,2.0,0.1414882101320989,2007-08-23 07:30:00
GDP Annualized QoQ,0.04,0.034,Q,2007-08-30,07:30:00,0.041,0.23,-0.0010000000000000009,-0.005133209100022069,2007-08-30 07:30:00
