Date,Mispricing
2003-11-01,0.21798193263073218
2003-11-08,0.1304437395653906
2003-11-15,0.34084948892189126
2003-11-22,0.31299225147791127
2003-11-29,0.14271978782156353
2003-12-06,0.2822233019463005
2003-12-13,0.2213792533062566
2003-12-20,0.24023109635059015
2003-12-27,0.20077567790667977
2004-01-03,0.10656420434627359
2004-01-10,0.29591816436084006
2004-01-17,0.2677622804525932
2004-01-24,0.20655470709742715
2004-01-31,0.08234313904891208
2004-02-07,0.10328299815715301
2004-02-14,0.12049565975554892
2004-02-21,0.06463424649523487
2004-02-28,0.14736646452186988
2004-03-06,0.17566580204676202
2004-03-13,0.1889723989659862
2004-03-20,0.16507405202779152
2004-03-27,0.0976689080605713
2004-04-03,-0.039098089761403824
2004-04-10,-0.05926193878022285
2004-04-17,-0.12087521462893532
2004-04-24,-0.2043407434280231
2004-05-01,-0.23143126297637437
2004-05-08,-0.3424921127952344
2004-05-15,-0.26281111161778453
2004-05-22,-0.24813368557489812
2004-05-29,-0.17250469764033555
2004-06-05,-0.20097767136247066
2004-06-12,-0.18830723819655468
2004-06-19,-0.07994832952097522
2004-06-26,-0.04848907715087242
2004-07-03,0.0319758785582281
2004-07-10,0.030195268396151134
2004-07-17,0.07286753018861422
2004-07-24,0.0020876795999666678
2004-07-31,-0.032058045120583044
2004-08-07,0.03913724140276741
2004-08-14,0.023105986452249507
2004-08-21,0.009940368066830074
2004-08-28,0.00496421292718109
2004-09-04,-0.04863440203054115
2004-09-11,0.022992803878627305
2004-09-18,0.034078245543577024
2004-09-25,0.050531446016041696
2004-10-02,-0.03335057392947974
2004-10-09,-0.020330036974070594
2004-10-16,0.013721062591581163
2004-10-23,0.09244528237700034
2004-10-30,0.020939027313474454
2004-11-06,-0.05509411724135636
2004-11-13,-0.04715134401618311
2004-11-20,-0.06633156222204584
2004-11-27,-0.09734071241430517
2004-12-04,-0.0827694754987261
2004-12-11,-0.0196898504632436
2004-12-18,-0.04751354183475819
2004-12-25,-0.04813549024604778
2005-01-01,-0.06443236638219364
2005-01-08,-0.12339987368046683
2005-01-15,-0.09049074395238044
2005-01-22,-0.062316839280984096
2005-01-29,-0.08716015550652081
2005-02-05,-0.04987203550730974
2005-02-12,-0.04885805598075168
2005-02-19,-0.1377439904686025
2005-02-26,-0.12916840131355634
2005-03-05,-0.16492008140450626
2005-03-12,-0.3028380392549693
2005-03-19,-0.2460671473376968
2005-03-26,-0.2762757601818451
2005-04-02,-0.1864735152831424
2005-04-09,-0.18448458149329894
2005-04-16,-0.019640411581112262
2005-04-23,-0.0018492259072783925
2005-04-30,0.0030722281834469423
2005-05-07,-0.03178217928741772
2005-05-14,0.045921338012401156
2005-05-21,0.03380455325623303
2005-05-28,0.07873073492002429
2005-06-04,0.07541418308852316
2005-06-11,0.013137832583747889
2005-06-18,-0.021322650647939777
2005-06-25,0.08549046321338999
2005-07-02,0.012606124869944467
2005-07-09,-0.04926813193181983
2005-07-16,-0.1272521195252799
2005-07-23,-0.14210936939742905
2005-07-30,-0.18661283968170003
2005-08-06,-0.22880836834283005
2005-08-13,-0.11095824533777332
2005-08-20,-0.06140609813595725
2005-08-27,-0.06720186840540665
2005-09-03,-0.0032442298465822274
2005-09-10,-0.05734887827479104
2005-09-17,-0.21484648244308063
2005-09-24,-0.18560491273794047
2005-10-01,-0.21897760823667775
2005-10-08,-0.14378150998359052
2005-10-15,-0.24422625385438015
2005-10-22,-0.1531879260556832
2005-10-29,-0.24999400167196328
2005-11-05,-0.2876857213713943
2005-11-12,-0.2027089047179793
2005-11-19,-0.1371899155307705
2005-11-26,-0.10287069795968133
2005-12-03,-0.150287605521796
2005-12-10,-0.13941886396658043
2005-12-17,-0.051417185105990144
2005-12-24,-0.0013410967330636612
2005-12-31,-0.024750506385285267
2006-01-07,-0.03646075404153848
2006-01-14,-0.020743121991194387
2006-01-21,-0.004894520673752375
2006-01-28,-0.19181081604407885
2006-02-04,-0.20358310889879958
2006-02-11,-0.25169210639090434
2006-02-18,-0.19564663293968343
2006-02-25,-0.2307057971182412
2006-03-04,-0.25443915892769337
2006-03-11,-0.26306324218905053
2006-03-18,-0.14744029630175054
2006-03-25,-0.1292675695828906
2006-04-01,-0.2424007316961265
2006-04-08,-0.3084453218429558
2006-04-15,-0.3235628642461622
2006-04-22,-0.23013700730148634
2006-04-29,-0.21136437471960626
2006-05-06,-0.22424121766690117
2006-05-13,-0.28835766178090266
2006-05-20,-0.13703543879774396
2006-05-27,-0.13137579217880357
2006-06-03,-0.09057058447070468
2006-06-10,-0.07744125291352064
2006-06-17,-0.17223149202772842
2006-06-24,-0.2449773006078176
2006-07-01,-0.1267626145576174
2006-07-08,-0.13574140046282282
2006-07-15,-0.06888990414913668
2006-07-22,-0.02846384639545341
2006-07-29,0.02222701176945363
2006-08-05,0.08831471170915747
2006-08-12,0.013979580875617462
2006-08-19,0.1045973384815515
2006-08-26,0.11857209966563312
2006-09-02,0.15673258719274194
2006-09-09,0.11724971310870128
2006-09-16,0.0934932870420697
2006-09-23,0.2314296897427734
2006-09-30,0.16178224484078613
2006-10-07,0.0768673370066883
2006-10-14,-0.013726342193080195
2006-10-21,0.01117752866255381
2006-10-28,0.09479172333701681
2006-11-04,0.035871296456802516
2006-11-11,0.1354005696256168
2006-11-18,0.045563171630762685
2006-11-25,0.08153969516343719
2006-12-02,0.17311754720974928
2006-12-09,0.06356506355438192
2006-12-16,0.013384801655050939
2006-12-23,0.020404299567524264
2006-12-30,-0.06773187378799027
2007-01-06,0.011916952389695878
